index,title,duration_str,duration_sec
95,第八章-KMeans算法-04.XGBoost案例_红酒品质分类_数据预处理,19:46,1186
96,第八章-KMeans算法-05.XGBoost案例_红酒品质分类_模型训练,12:04,724
97,第八章-KMeans算法-06.XGBoost案例_红酒品质分类_模型评测,19:50,1190
98,第八章-KMeans算法-07.朴素贝叶斯_简介,42:23,2543
99,第八章-KMeans算法-08.商品评论情感分析_思路分析,13:28,808
100,第八章-KMeans算法-09.商品评论情感分析_数据预处理,46:05,2765
101,第八章-KMeans算法-10.商品评论情感分析_模型训练和预测,11:54,714
102,第八章-KMeans算法-11.聚类算法_简介,20:47,1247
103,第八章-KMeans算法-12.聚类算法_API初识,25:46,1546
104,第八章-KMeans算法-13.聚类算法_推导流程,23:43,1423
105,第九章-数据挖掘实战项目-01.聚类算法评估指标_SSE介绍,14:31,871
106,第九章-数据挖掘实战项目-02.聚类算法评估指标_SSE代码实现,22:20,1340
107,"第九章-数据挖掘实战项目-03.聚类算法评估指标_sc, ch轮廓系数介绍",16:33,993
108,"第九章-数据挖掘实战项目-04.sc, ch轮廓系数_代码演示",13:58,838
109,第九章-数据挖掘实战项目-05.用户分群_求解最优K值,27:08,1628
110,第九章-数据挖掘实战项目-06.用户分群_代码实现,27:03,1623
111,第九章-数据挖掘实战项目-07.时序数据介绍,25:10,1510
112,第九章-数据挖掘实战项目-08.时序数据分类介绍,13:01,781
113,第九章-数据挖掘实战项目-09.时序预测_算法介绍,15:42,942
114,第九章-数据挖掘实战项目-10.电力负荷预测案例_背景介绍,09:42,582
115,第九章-数据挖掘实战项目-11.电力负荷预测案例_项目搭建,17:23,1043
116,第九章-数据挖掘实战项目-12.电力负荷预测案例_日志功能介绍,20:51,1251
117,第九章-数据挖掘实战项目-13.电力负荷预测案例_数据预处理,13:05,785
118,第九章-数据挖掘实战项目-14.电力负荷预测案例_定义电力负荷模型类,11:57,717
119,第九章-数据挖掘实战项目-15.电力负荷预测案例_查看数据整体和各小时负荷分布,24:14,1454
120,第九章-数据挖掘实战项目-16.电力负荷案例_按照月份_假日可视化数据,14:07,847
121,第九章-数据挖掘实战项目-17.电力负荷案例_特征工程_添加小时和月份字段,10:59,659
122,第九章-数据挖掘实战项目-18.电力负荷案例_特征工程_添加上n小时(窗口字段),11:42,702
123,第九章-数据挖掘实战项目-19.电力负荷案例_特征工程_昨日同时刻负荷,18:22,1102
124,第九章-数据挖掘实战项目-20.电力负荷案例_模型训练_评估_保存,22:25,1345
125,第九章-数据挖掘实战项目-21.电力负荷案例_预测类代码实现,11:27,687
126,第九章-数据挖掘实战项目-22.电力负荷案例_解析预测特征(上),11:54,714
127,第九章-数据挖掘实战项目-23.电力负荷案例_解析预测特征(下),23:27,1407
128,第九章-数据挖掘实战项目-24.电力负荷案例_结果展示,22:34,1354
129,第九章-数据挖掘实战项目-25.电力负荷案例_扩展思路,13:09,789
130,【课程完结】,11:29,689
