P01 机器学习课程导学 【12:16】
P52 第四章-线性回归-07.代码演示_正好拟合 【15:53】
P53 第四章-线性回归-08.代码演示_过拟合 【05:50】
P54 第四章-线性回归-09.L1和L2正则化解释 【40:30】
P55 第五章-逻辑回归-01.今日内容大纲介绍 【12:21】
P56 第五章-逻辑回归-02.逻辑回归_简介 【08:38】
P57 第五章-逻辑回归-03.逻辑回归_概率相关知识回顾 【36:04】
P58 第五章-逻辑回归-04.逻辑回归_原理介绍 【22:49】
P59 第五章-逻辑回归-05.逻辑回归案例_癌症预测 【35:11】
P60 第五章-逻辑回归-06.混淆矩阵及精确率, 召回率, F1值介绍 【23:18】
P61 第五章-逻辑回归-07.混淆矩阵_精确率_召回率_F1值_代码演示 【30:22】
P62 第五章-逻辑回归-08.混淆矩阵_总结 【04:15】
P63 第五章-逻辑回归-09.ROC曲线和AUC指标介绍(了解) 【09:02】
P64 第五章-逻辑回归-10.ROC曲线_案例(了解) 【30:12】
P65 第六章-决策树-01.逻辑回归_电信用户流失预测_数据预处理 【29:41】
P66 第六章-决策树-02.逻辑回归_电信用户流失预测_数据可视化 【12:36】
P67 第六章-决策树-03.逻辑回归_电信用户流失预测_模型训练预测评估 【18:13】
P68 第六章-决策树-04.决策树_简介 【14:38】
P69 第六章-决策树-05.决策树_信息熵简介 【22:18】
P70 第六章-决策树-06.决策树_信息增益计算 【19:13】
P71 第六章-决策树-07.ID3决策树_搭建 【33:05】
P72 第六章-决策树-08.上午内容回顾 【08:04】
P73 第六章-决策树-09.C4.5树_信息增益率 【42:00】
P74 第六章-决策树-10.Cart树原理介绍 【58:37】
P75 第六章-决策树-11.三种决策树总结 【06:17】
P76 第六章-决策树-12.泰坦尼克号案例_数据集介绍 【16:30】
P77 第六章-决策树-13.泰坦尼克号案例_代码演示 【21:33】
P78 第六章-决策树-14.CART决策树_回归用法 【16:49】
P79 第七章-集成学习-01.回归决策树和线性回归对比 【31:32】
P80 第七章-集成学习-02.决策树_剪枝介绍 【17:54】
P81 第七章-集成学习-03.集成学习_大纲介绍 【09:38】
P82 第七章-集成学习-04.集成学习_简介 【12:28】
P83 第七章-集成学习-05.集成学习_Bagging和Boosting思想介绍 【19:07】
P84 第七章-集成学习-06.Bagging思想_随机森林算法介绍 【18:40】
P85 第七章-集成学习-07.随机森林API_泰坦尼克号案例 【27:35】
P86 第七章-集成学习-08.Boosting思想_AdaBoost自适应提升树介绍 【22:29】
P87 第七章-集成学习-09.AdaBoost算法_推导过程 【51:39】
P88 第七章-集成学习-10.AdaBoost算法_葡萄酒案例 【30:39】
P89 第七章-集成学习-11.GBDT算法_梯度提升树介绍 【22:25】
P90 第七章-集成学习-12.GBDT算法_推导过程 【38:00】
P91 第七章-集成学习-13.GBDT算法_泰坦尼克号案例 【32:20】
P92 第八章-KMeans算法-01.XGBoost极限梯度提升树_简介 【22:37】
P93 第八章-KMeans算法-02.XGBoost极限梯度提升树_推导 【59:29】
P94 第八章-KMeans算法-03.XGBoost API介绍 【09:42】
P95 第八章-KMeans算法-04.XGBoost案例_红酒品质分类_数据预处理 【19:46】
P96 第八章-KMeans算法-05.XGBoost案例_红酒品质分类_模型训练 【12:04】
P97 第八章-KMeans算法-06.XGBoost案例_红酒品质分类_模型评测 【19:50】
P98 第八章-KMeans算法-07.朴素贝叶斯_简介 【42:23】
P99 第八章-KMeans算法-08.商品评论情感分析_思路分析 【13:28】
P100 第八章-KMeans算法-09.商品评论情感分析_数据预处理 【46:05】
P101 第八章-KMeans算法-10.商品评论情感分析_模型训练和预测 【11:54】
P102 第八章-KMeans算法-11.聚类算法_简介 【20:47】
P103 第八章-KMeans算法-12.聚类算法_API初识 【25:46】
P104 第八章-KMeans算法-13.聚类算法_推导流程 【23:43】
P105 第九章-数据挖掘实战项目-01.聚类算法评估指标_SSE介绍 【14:31】
P106 第九章-数据挖掘实战项目-02.聚类算法评估指标_SSE代码实现 【22:20】
P107 第九章-数据挖掘实战项目-03.聚类算法评估指标_sc, ch轮廓系数介绍 【16:33】
P108 第九章-数据挖掘实战项目-04.sc, ch轮廓系数_代码演示 【13:58】
P109 第九章-数据挖掘实战项目-05.用户分群_求解最优K值 【27:08】
P110 第九章-数据挖掘实战项目-06.用户分群_代码实现 【27:03】
P111 第九章-数据挖掘实战项目-07.时序数据介绍 【25:10】
P112 第九章-数据挖掘实战项目-08.时序数据分类介绍 【13:01】
P113 第九章-数据挖掘实战项目-09.时序预测_算法介绍 【15:42】
P114 第九章-数据挖掘实战项目-10.电力负荷预测案例_背景介绍 【09:42】
P115 第九章-数据挖掘实战项目-11.电力负荷预测案例_项目搭建 【17:23】
P116 第九章-数据挖掘实战项目-12.电力负荷预测案例_日志功能介绍 【20:51】
P117 第九章-数据挖掘实战项目-13.电力负荷预测案例_数据预处理 【13:05】
P118 第九章-数据挖掘实战项目-14.电力负荷预测案例_定义电力负荷模型类 【11:57】
P119 第九章-数据挖掘实战项目-15.电力负荷预测案例_查看数据整体和各小时负荷分布 【24:14】
P120 第九章-数据挖掘实战项目-16.电力负荷案例_按照月份_假日可视化数据 【14:07】
P121 第九章-数据挖掘实战项目-17.电力负荷案例_特征工程_添加小时和月份字段 【10:59】
P122 第九章-数据挖掘实战项目-18.电力负荷案例_特征工程_添加上n小时(窗口字段) 【11:42】
P123 第九章-数据挖掘实战项目-19.电力负荷案例_特征工程_昨日同时刻负荷 【18:22】
P124 第九章-数据挖掘实战项目-20.电力负荷案例_模型训练_评估_保存 【22:25】
P125 第九章-数据挖掘实战项目-21.电力负荷案例_预测类代码实现 【11:27】
P126 第九章-数据挖掘实战项目-22.电力负荷案例_解析预测特征(上) 【11:54】
P127 第九章-数据挖掘实战项目-23.电力负荷案例_解析预测特征(下) 【23:27】
P128 第九章-数据挖掘实战项目-24.电力负荷案例_结果展示 【22:34】
P129 第九章-数据挖掘实战项目-25.电力负荷案例_扩展思路 【13:09】
P130 【课程完结】 【11:29】
